companyId,Name,Sector,Industry
20MICRONS,20 Microns Ltd,Mining & Mineral products,Mining/Minerals
360ONE,360 ONE WAM Ltd,Stock/ Commodity Brokers,Finance - Capital Markets - Wealth Management
3BBLACKBIO,3B Blackbio DX Ltd,Healthcare,Diagnostics
3MINDIA,3M India Ltd,Diversified,Diversified
5PAISA,5paisa Capital Ltd,Stock/ Commodity Brokers,Finance - Capital Markets - Brokers
63MOONS,63 Moons Technologies Ltd,IT - Software,IT - Software
AADHARHFC,Aadhar Housing Finance Ltd,Finance,Finance - Housing
AARTIDRUGS,Aarti Drugs Ltd,Pharmaceuticals,Pharma - API
AARTIIND,Aarti Industries Ltd,Chemicals,Speciality Chemicals
AARTIPHARM,Aarti Pharmalabs Ltd,Pharmaceuticals,Pharma - API
AAVAS,AAVAS Financiers Ltd,Finance,Finance - Housing
AAYUSHBULL,Aayush Art and Bullion Ltd,"Diamond, Gems and Jewellery",Trading
AFSL,Abans Financial Services Ltd,Finance,Finance & Investments - Others
ABB,ABB India Ltd,Capital Goods - Electrical Equipment,Electric Equipment - General
ABBOTINDIA,Abbott India Ltd,Pharmaceuticals,Pharma - MNC bulk Drugs
ABSMARINE,ABS Marine Services Ltd,Shipping,Shipping/Dredging
ACCELYA,Accelya Solutions India Ltd,IT - Software,IT Product Companies
ACCENTMIC,Accent Microcell Ltd,Pharmaceuticals,Pharma - Formulators
ACC,ACC Ltd,Cement,Cement
ACMESOLAR,ACME Solar Holdings Ltd,Infrastructure Developers & Operators,Engineering - Turnkey Services
ACE,Action Construction Equipment Ltd,Capital Goods-Non Electrical Equipment,Capital Goods - EPC/Cranes
ACUTAAS,Acutaas Chemicals Ltd,Pharmaceuticals,Pharma - API & CRAMS
ADANIENSOL,Adani Energy Solutions Ltd,Power Generation & Distribution,Power - Transmission/Equipment
ADANIENT,Adani Enterprises Ltd,Trading,Trading
ADANIGREEN,Adani Green Energy Ltd,Power Generation & Distribution,Power - Generation/Distribution
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Marine Port & Services,Marine Port & Services
ADANIPOWER,Adani Power Ltd,Power Generation & Distribution,Power - Generation/Distribution
ATGL,Adani Total Gas Ltd,Gas Distribution,Gas Distribution
ADCINDIA,ADC India Communications Ltd,Telecom Equipment & Infra Services,Telecom Services
ADFFOODS,ADF Foods Ltd,FMCG,FMCG - Contract Mfg
ABCAPITAL,Aditya Birla Capital Ltd,Finance,Conglomerate Backed NBFC
ABFRL,Aditya Birla Fashion & Retail Ltd,Retail,Textiles - Readymade Apparel
ABLBL,Aditya Birla Lifestyle Brands Ltd,Retail,Textiles - Readymade Apparel
BIRLAMONEY,Aditya Birla Money Ltd,Stock/ Commodity Brokers,Finance - Capital Markets
ABREL,Aditya Birla Real Estate Ltd,Realty,Realty - National
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Finance,Finance - AMC
CPPLUS,Aditya Infotech Ltd,Electronics,CCTV Camera
AVL,Aditya Vision Ltd,Retail,Retail - Electronics
ADOR,Ador Welding Ltd,Capital Goods-Non Electrical Equipment,Welding Equipments
ADVAIT,Advait Energy Transitions Limited,Cables,EPC
ADVANCE,Advance Agrolife Ltd,Agro Chemicals,Pesticides/Agrochemicals
ADVENZYMES,Advanced Enzyme Technologies Ltd,Pharmaceuticals,Seeds/Tissue Culture/Bio Technology
ADVENTHTL,Advent Hotels International Ltd,Hotels & Restaurants,Hotels
AEGISLOG,Aegis Logistics Ltd,Trading,Logistics
AEGISVOPAK,Aegis Vopak Terminals Ltd,Logistics,Miscellaneous
AEQUS,Aequs Ltd,Aerospace & Defence,Aerospace & Defence - Equipments
AEROENTER,Aeroflex Enterprises Ltd,Steel,Miscellaneous
AEROFLEX,Aeroflex Industries Ltd,Steel,Stainless Steel
AETHER,Aether Industries Ltd,Chemicals,Speciality Chemicals
AFCOM,Afcom Holdings Ltd,Logistics,Air Transport Service
AFCONS,Afcons Infrastructure Ltd,Infrastructure Developers & Operators,Construction - Civil/Turnkey
AFFLE,Affle 3i Ltd,IT - Software,Advertisement
AGARIND,Agarwal Industrial Corporation Ltd,Petrochemicals,Petrochem - Others
AGI,AGI Greenpac Ltd,Packaging,Packaging - FMCG/Consumers
AGIIL,AGI Infra Ltd,Realty,Realty - Construction & Contracting
AHLUCONT,Ahluwalia Contracts (India) Ltd,Realty,EPC
AIAENG,AIA Engineering Ltd,"Castings, Forgings & Fastners",Capital Goods - Mining Equipement
AIMTRON,Aimtron Electronics Ltd,Electronics,EMS
AIRFLOA,Airfloa Rail Technology Ltd,Capital Goods-Non Electrical Equipment,Compressors
AJANTPHARM,Ajanta Pharma Ltd,Pharmaceuticals,Pharma - Formulators
AJAXENGG,Ajax Engineering Ltd,Capital Goods-Non Electrical Equipment,Capital Goods - EPC/Cranes
AJMERA,Ajmera Realty & Infra India Ltd,Realty,Realty - Construction & Contracting
AKCAPIT,AKCapital Services Ltd,Finance,NBFC - Others
AKUMS,Akums Drugs & Pharmaceuticals Ltd,Pharmaceuticals,Pharma - Formulators
ALEMBICLTD,Alembic Ltd,Realty,Finance - Holding Company
APLLTD,Alembic Pharmaceuticals Ltd,Pharmaceuticals,Pharma - Formulators
ALGOQUANT,Algoquant Fintech Ltd,Finance,Finance & Investments - Others
ALICON,Alicon Castalloy Ltd,"Castings, Forgings & Fastners","Castings, Forgings & Fastners"
ALIVUS,Alivus Life Sciences Ltd,Pharmaceuticals,Pharmaceuticals Bulk Drugs & Formulation
ALKEM,Alkem Laboratories Ltd,Pharmaceuticals,Pharma - Formulators
ALKYLAMINE,Alkyl Amines Chemicals Ltd,Chemicals,Speciality Chemicals
ATL,Allcargo Terminals Ltd,Marine Port & Services,Logistics
ALLDIGI,Alldigi Tech Ltd,IT - Software,IT Enabled Services
ABDL,Allied Blenders & Distillers Ltd,Alcoholic Beverages,Alcoholic Beverages
ADSL,Allied Digital Services Ltd,IT - Software,IT - Software
ALLTIME,All Time Plastics Ltd,Plastic products,Plastics - Others
ALPEXSOLAR,Alpex Solar Ltd,Capital Goods - Electrical Equipment,Capital Goods - Electric General
ALTIUSINVIT,Altius Telecom Infrastructure Trust,Infrastructure Investment Trusts,Infrastructure Investment Trusts
AMAGI,Amagi Media Labs Ltd,IT - Software,Entertainment & Media
AMAL,Amal Ltd,Chemicals,Speciality Chemicals
AMANTA,Amanta Healthcare Ltd,Pharmaceuticals,Pharmaceuticals Bulk Drugs & Formulation
ARE&M,Amara Raja Energy & Mobility Ltd,Auto Ancillaries,Auto Ancillaries - Batteries
AMBER,Amber Enterprises India Ltd,Consumer Durables,Consumer Electronics - EMS
AMBIKCO,Ambika Cotton Mills Ltd,Textiles,Textiles - Spinning
AMBUJACEM,Ambuja Cements Ltd,Cement,Cement
AMIC,Amic Forging Ltd,"Castings, Forgings & Fastners","Castings, Forgings & Fastners"
AMNPLST,Amines & Plasticizers Ltd,Chemicals,Speciality Chemicals
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Ltd,FMCG,Food - Processing - Rice
AMRUTANJAN,Amrutanjan Health Care Ltd,Pharmaceuticals,Pharma - Formulators
ARSSBL,Anand Rathi Share & Stock Brokers Ltd,Stock/ Commodity Brokers,Finance - Capital Markets - Brokers
ANANDRATHI,Anand Rathi Wealth Ltd,Finance,Finance - Capital Markets - Wealth Management
ANANTAM,Anantam Highways Trust,Infrastructure Investment Trusts,Infra/Real Estate Investment Trust
ANANTRAJ,Anant Raj Ltd,Realty,Data Centre
ANDHRAPAP,Andhra Paper Ltd,Paper,Paper
